2016-09-01 12:17:37,142 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @816370ms
2016-09-01 12:17:38,035 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.9.v20150224
2016-09-01 12:17:38,132 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@5522397e{/help,null,AVAILABLE}
2016-09-01 12:17:38,150 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@62cea65a{HTTP/1.1}{127.0.0.1:61053}
2016-09-01 12:17:38,150 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @817627ms
2016-09-01 12:30:24,417 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@62cea65a{HTTP/1.1}{127.0.0.1:0}
2016-09-01 12:30:24,450 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@5522397e{/help,null,UNAVAILABLE}
2016-09-27 17:26:48,763 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-09-27 17:27:08,506 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-09-27 20:47:36,962 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-09-27 21:04:58,110 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-09-28 09:59:38,023 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-09-28 11:38:50,901 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-09-28 13:48:05,287 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-09-29 01:29:33,087 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-09-29 01:49:44,762 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-09-29 10:06:10,812 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-09-29 15:44:29,013 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-09-30 09:48:54,343 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-09-30 13:34:09,737 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
